text;audiofile
Take care of yourself. The price of kolto tanks has jumped through the roof.;NM17AANEWS11000_.mp3
The Selkath put a bunch of export restrictions in place for kolto. It's hurting everybody.;NM17AANEWS11001_.mp3
I hear that Manaan is no longer shipping kolto. The Selkath must be trying to drive prices up.;NM17AANEWS11002_.mp3
If you have kolto tanks, use them sparingly. I can't find them cheap anywhere.;NM17AANEWS11003_.mp3
I'm sure I saw some holo-footage of you on the Manaan swoop track, what you doing here?;NM17AANEWS11004_.mp3
Did you win a regional swoop championship on Manaan or something? I recognize your face.;NM17AANEWS11005_.mp3
I heard about your Manaan win. I'm surprised the Tatooine track was able to attract a racer of your ability.;NM17AANEWS11006_.mp3
Motta swears he can get professional racers to come to Tatooine. If the Manaan Sector Champion is here, I guess he was right.;NM17AANEWS11007_.mp3
I hear Czerka is closing their Kashyyyk operation. Nobody seems to know why.;NM17AANEWS11008_.mp3
Czerka is claiming that their operation on Kashyyyk has become to costly to maintain. Sounds like a cover-up to me.;NM17AANEWS11009_.mp3
"No more supplies have been ordered for the Czerka outposts on Kashyyyk. Doesn't sound like ""economic restructuring"" to me.";NM17AANEWS11010_.mp3
A private trader told me about the bloodshed on Kashyyyk. Seems like Czerka wants to forget it was ever there.;NM17AANEWS11011_.mp3
A trader I know says there was some trouble on Korriban. I didn't want to hear about it. That's where the Sith Academy is.;NM17AANEWS11012_.mp3
If you're doing any private shipping, stay away from Korriban. Sounds like the Sith can't even get along with themselves.;NM17AANEWS11013_.mp3
Word is Korriban is a dangerous place to visit right now. Something about the Sith at the Academy.;NM17AANEWS11014_.mp3
I heard the Sith were fighting amongst themselves on Korriban. Course, they're always fighting someone.;NM17AANEWS11015_.mp3
I still haven't heard a final figure of how many people died on Taris.;NM17AANEWS11016_.mp3
"You never know what the Sith will do. Look at Taris; was there any reason for what happened there?";NM17AANEWS11017_.mp3
The Republic is too complacent. If they let Taris fall, do you think they care what happens out here?;NM17AANEWS11018_.mp3
With Taris gone, I wonder who the Sith will turn on next.;NM17AANEWS11019_.mp3
Move along, spacer.;NM22AACZER06000_.mp3
You want to arrange a purchase, go talk to the director in his office.;NM22AACZER06001_.mp3
This assignment is the worst in the galaxy.;NM22AACZER06002_.mp3
Czerka Corporation should burn down some trees. Make room for some swoop races.;NM22AACZER06003_.mp3
Keep walking. This ain't no holiday port of call.;NM22AACZER06004_.mp3
If you've business with Czerka Corporation, take it to the director's office.;NM22AACZER06005_.mp3
Take a walk, spacer. You don't look like a big buyer to me.;NM22AACZER06006_.mp3
Watch yourself. We don't need anyone agitating the locals.;NM22AACZER06007_.mp3
I was told that you're a friend of Jolee Bindo... and that Jolee has returned to the sector. Please, I must speak to him. It's very urgent!;NM26AAELOR04000_.mp3
Who are you?;
My name is Elora. My husband Sunry and Jolee are old friends. Now Sunry needs Jolee's help.;NM26AAELOR04002_.mp3
I shall tell Jolee immediately.;
Please, I beg you to bring Jolee to speak to me about my husband. Sunry's life depends on it!;NM26AAELOR04008_.mp3
Maybe I can help your husband.;
Someone is out to destroy my husband. I... I don't know who I can trust. I don't know you. But Jolee - he was always a true friend to Sunry.;NM26AAELOR04005_.mp3
Why do you need to speak to Jolee?;
I don't have time for this.;
Jolee! It *is* you! I... need your help.;NM26AAELOR04009_.mp3
Elora? Of all the people... How did you even know I'd left Kashyyyk?;NM26AAELOR04010_.mp3
I didn't. Nobody knew where you were, not even Sunry! But I heard the Selkath mention you and your friends. The Force has brought you to help us!;NM26AAELOR04011_.mp3
Why? Whatever could be the matter, my dear?;NM26AAELOR04012_.mp3
It's horrible, Jolee! Sunry has been arrested! The Sith have accused him of murder!;NM26AAELOR04013_.mp3
Murder? But how...;NM26AAELOR04014_.mp3
It's all a mistake, Jolee! Sunry isn't a murderer - someone is trying to frame him.;NM26AAELOR04015_.mp3
Calm down, Elora. Where's Sunry now?;NM26AAELOR04016_.mp3
Sunry's being held at the Selkath courts. They won't let anyone in to see him. Please, go to the courts, talk to the Judges. Maybe the Selkath will listen to you.;NM26AAELOR04047_.mp3
Don't worry, Elora. We'll get to the bottom of this and help Sunry... somehow.;NM26AAELOR04048_.mp3
I hear you have been appointed as Arbiter in Sunry's trial. My husband is innocent - please don't let him go to jail for a crime he didn't commit!;NM26AAELOR04017_.mp3
Can you tell me anything about Sunry?;
Sunry is... he's a cripple. There's no way he could have overpowered this Sith woman like they claim.;NM26AAELOR04019_.mp3
That's true... I'd forgotten about that. Let's not forget that he would have had to have been considerably older than the Sith woman.;NM26AAELOR04020_.mp3
Are you saying someone your age couldn't overpower a woman?;
Hmph. I'm a Jedi... and one who was living alone in the Shadowlands until recently. That keeps you in shape, damn it! We're talking about Sunry, here.;NM26AAELOR04022_.mp3
And there's no way he would do something so dishonorable as hit her from behind. Sunry's a decorated war hero! He's a hero of the Republic!;NM26AAELOR04023_.mp3
Don't worry, Elora. I'll save him.;
Find the real evidence, that's all I ask. The real evidence will prove Sunry didn't do this.;NM26AAELOR04043_.mp3
Your husband might not be so innocent, Elora.;
This is all a plot to discredit the Republic! Sunry is a victim of a Sith frame up!;NM26AAELOR04045_.mp3
It's possible. I haven't seen Sunry since I crashed on Kashyyyk... a man can change a lot in that time. The man I knew could never have done this crime, however.;NM26AAELOR04046_.mp3
[Persuade] Was Sunry having an affair?;
[Success] Of... of course not! He... he... *sob*;NM26AAELOR04025_.mp3
Yes... *sob* ...yes, he was having an affair. He was seeing that... that Sith woman.;NM26AAELOR04026_.mp3
After all these years we've been together he just... just dropped me like that. Not publicly, oh no, but inside that's what it feels like.;NM26AAELOR04027_.mp3
He started seeing Elassa last year. I... I had my suspicions for a while, but he was careless. Pretty soon everyone knew.;NM26AAELOR04028_.mp3
But... but... even though I'm sure that harlot was only using him, I know he couldn't have killed her. He came and confessed to the affair to me. He said he was going there to break it off - to end it.;NM26AAELOR04029_.mp3
Maybe the Sith woman attacked him and he had to defend himself?;NM26AAELOR04030_.mp3
But even though he cheated on me, inside he's still the man I loved... love... He is too kind and gentle to have killed her in cold blood.;NM26AAELOR04031_.mp3
He is a soldier, though.;
That was a long time ago, in a war far, far away. He's changed now... settled down. Just please, prove his innocence.;NM26AAELOR04033_.mp3
He has killed many Sith before.;
[Failure] What?? Don't insult us both! Sunry is... Sunry is a just and honorable man. How dare you accuse him... us, of such a thing!;NM26AAELOR04035_.mp3
Now, now, Elora. We're not here to pass judgment, my dear. We do need to know everything if we're to help, yes?;NM26AAELOR04036_.mp3
Madam. I would remind you that I am a Jedi. Now, then... was he having an affair?;NM26AAELOR04037_.mp3
Find proof to set him free instead of bringing these baseless accusations against us.;NM26AAELOR04038_.mp3
Tell me about Sunry and Elassa.;
I have this recording showing Sunry killing Elassa.;
Lies! It... it must be! I knew the Sith would never let a Republic hero get away... You must find Sunry innocent!;NM26AAELOR04041_.mp3
A horrible fate for poor Hendar... I warned him not to leave the safety of the village.;NM04AAOUTM18000_.mp3
But I couldn't open the gate... not while the rakghouls were so close. I had to protect the village.;NM04AAOUTM18001_.mp3
But enough of this grim talk... we must focus on the positive if we are to survive down here. How can I help you, up-worlder?;NM04AAOUTM18002_.mp3
Open the gate for me.;
I will open the gate for you, up-worlder, but you've got to be quick. In a few seconds I must close and lock it again for the safety of the village.;NM04AAOUTM18011_.mp3
Who are you?;
I am Trewin, from the Outcast village. It's my job to guard the gates and see they are locked to protect us from the rakghouls.;NM04AAOUTM18019_.mp3
I want to ask you some questions.;
Heh. I just guard the gates. Gendar is the leader of the village, up-worlder. You should speak to him if you have any questions.;NM04AAOUTM18021_.mp3
Goodbye.;
Goodbye, up-worlder.;NM04AAOUTM18023_.mp3
Thank you for saving Hendar. You are braver than I, up-worlder. Maybe we Outcasts have lived too long in selfish fear.;NM04AAOUTM18003_.mp3
Perhaps we can learn a lesson from your brave actions. Hmph. But enough of my ramblings... is there something you need, up-worlder?;NM04AAOUTM18004_.mp3
You're not from the village. In fact, you look like you're from the up-world!;NM04AAOUTM18005_.mp3
I don't know why you'd come down here to our village, but I guess I can let you in. There don't seem to be any rakghouls nearby.;NM04AAOUTM18006_.mp3
Hurry, up-worlder. I can only leave the gate open for a few seconds. I can't risk letting the rakghouls in!;NM04AAOUTM18007_.mp3
I can't open the gate... not while the rakghouls are so near.;NM04AAOUTM18008_.mp3
Open the gate... I will kill the rakghouls.;
You would risk your life for a stranger? You are brave... or foolish.;NM04AAOUTM18010_.mp3
You're right, it's too dangerous. Leave the gate closed.;
*Sigh* A horrible fate for poor Hendar. I warned him not to leave the safety of the village.;NM04AAOUTM18013_.mp3
Keep the gate closed. I'm not risking my life here.;
The gate is open. If you're going through you have to hurry, up-worlder, before I have to close it again.;NM04AAOUTM18015_.mp3
Yes, up-worlder? Is there something you need?;NM04AAOUTM18016_.mp3
So do we have a deal?;NM26AAREPN12000_.mp3
That's an awful lot of money... is there something you're not telling me?;NM26AAREPN12001_.mp3
Don't be so suspicious. The Republic is generous, we pay our mercenaries well.;NM26AAREPN12002_.mp3
Makes sense, I guess. Alright, I'm in. When do I start?;NM26AAREPN12003_.mp3
Just show up at the Republic Embassy tomorrow and speak to our Representative there. I'm sure he'll have some task he wants you to start on right away.;NM26AAREPN12004_.mp3
Do you mind? I'm in the middle of a Republic recruiting drive right now. I need to hire these mercenaries before they sign up with the Sith.;NM26AAREPN12005_.mp3
Why are you hiring mercenaries?;
In case you hadn't noticed, there's a war on. If we don't hire these mercs, the Sith will. Now excuse me, I have to continue my recruitments.;NM26AAREPN12007_.mp3
Maybe you could hire me?;
