text;dialogtype
You seem weary - perhaps you are in need of a fresh perspective. If you so desire, I can allow you to retrace your steps with all of the knowledge you currently possess. Simply ask, and I can show you the way!;complete
"BOUNTY!
The Sturmbeorn raiders are a threat to the Estherian people and to the brave settlers of the Empire. Commander Vale is authorized to pay a reward to anyone who assists the Vanquisher Corps in ridding the Temple Steppes of these savage brutes.
This bounty shall be paid to anyone who slays 10 or more Sturmbeorn in the Temple Steppes.";intro
The Sturmbeorn have been conducting raids in northeastern Vilderan for generations. However, their current leader, General Grell, has brought them together in unprecedented numbers. So long as Grell and his Sturmbeorn are able to roam the area freely, the Temple Steppes will not be safe for either the Estherians or the Empire's subjects settling in Vilderan.;return
The Empire thanks you for your valuable service, and wishes to reward you!;complete
Kill 10 Sturmbeorn in the Temple Steppes, then return to the Bounty Board in the Estherian Enclave for your reward.;details
- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] Sturmbeorn in the Temple Steppes;huddetails
- Return to Bounty Board in Estherian Enclave for reward;huddetails_complete
"BOUNTY!
Commander Vale of the Vanquisher Corps is offering a reward to anyone who can help thin out the packs of Warbeasts hampering colonization and defense efforts in Estheria.
This reward shall be paid to anyone who slays 10 or more Warbeasts in the Temple Steppes.";intro
Packs of Warbeasts infest certain key areas of the Temple Steppes. The invading Sturmbeorn armies use the Warbeasts as shock troops in their war against the Estherian people, hindering efforts to settle the area. The Empire needs capable adventurers to dispatch these beasts and pave the way for colonization efforts.;return
The Empire is grateful, and wishes to reward you for your valuable service!;complete
Kill 10 Warbeasts in the Temple Steppes, then return to the Bounty Board in the Estherian Enclave for your reward.;details
- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] Warbeasts in the Temple Steppes;huddetails
- Return to Bounty Board in Estherian Enclave for reward;huddetails_complete
"Greetings!  I am the great bard Trill.  You've heard of me of course, my talent is known throughout all of Veras.  From Torchlight to Redhaven they sing of my.. songs.
Torchlight... did something happen there?  I feel a bit...  Ah, nevermind.  I recognize this place!
The spiders called, the Sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
An apt verse, you'll agree.  I wrote it myself of course.";intro
"The spiders called, the Sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
The rest of the song eludes me... Leniency please!  Of course such a lapse is unforgivable in a great bard such as myself, but I feel a bit.. off.
Still, even that bare fragment of verse can lead you to glory.  Go forth, brave warrior, and slay the mighty beasts!  Whatever they may be...";return
"The reconsituted Trillbot has presented you with a fragment of verse:
The spiders called, the sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
Perhaps you should investigate a tree trunk in an area full of spiders.";details
You've slain the three sisters, and you're pretty sure they were evil.  Check back with Trillbot.;details_complete
"You've slain the vile Sisters?  Excellent!  I shall write a new ending to my song.
The wicked three, dark powers found, and ruled a twisted land,
but I could see, one honor bound, and victory was at hand!
Ah it will be a splendid tale!  Please, accept this token of my undying gratitude.";complete
Defeat the Three Sisters in the Battlefield.;huddetails
Return to Trillbot at the Imperial Camp;huddetails_complete
The legendary Mapworks is operational once more! From the Mapworks, you can navigate to all sorts of wondrous places! Many fine adventures surely await you within.;complete
You found a strange piece of metal that appears to be some part of a robot. It has '4000' carved into it.  You wonder just how many more pieces there could be.;details
You appear to have enough pieces to put it together. Now all you need is a scientist who can figure out just how it should be done.;details_complete
What do we have here?  Wow, this is a 4000 model! These are quite old - this one appears to have had a lot of work done to it. Not sure why it's in pieces - why don't we find out! Let me just put these together for you and we'll see what it has to say for itself.;complete
- Search for more pieces of the robot.;huddetails
- Find a scientist who can piece together the robot.;huddetails_complete
If I'm really lucky, we didn't lose too much hydraulic pressure on the purge line.;passive
There's a rumor that the Ezrohir have defeated the Guardian of Mana.  Is this true?;passive
Keep your eyes open for the Manticore, particularly around the Stygian Approach.  It likes to hunt the Wastes from the air.;passive
Any sign of Ezrohir troop movement out there?  Are they mobilizing yet?;passive
I'm starting to make evacuation plans ... just in case.;passive
I will lay down my life for my people ... if only to buy them time to flee.;passive
If the Guardian of Mana returns here, we might have a chance against the Alchemist.;passive
You've spoken to the Guardian of Air, about the Ossean Wastes?  You know the risks, then?  Alright.  Good luck out there.;passive
The Guardian of Air has ordered the gate to the Empty Quarter sealed.  If the Guardian gives you leave, then I can allow you to pass.;passive
It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.;passive
Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.;passive
Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.;passive
You've given us a fighting chance, hero.  Thank you.;passive
Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!;passive
We lost serious pressure in the primary Ember feed.  We've got an auxiliary line ... but that's no way to get around!;passive
Are the crew of the Embercraft safe out there, while they work on their vehicle?;passive
You're actually going after the Manticore?  Best of luck, my friend.  That beast is said to be indestructible.;passive
There's definitely Ezrohir activity in both the Forsaken Vaults and the Salt Barrens.;passive
The Guardian of Air warns us that, should you fail to rescue the Guardian of Mana, we might wish to consider evacuating the city.;passive
